,評分,店名,連結,地點,類型,晚餐價格,午餐價格,休息日
93,3.62,Yukui Dokoro Ishidatami,https://tabelog.com/tw/okinawa/A4701/A470101/47001464/,儀保車站,"沖繩料理, 沖繩麵","JPY 4,000～JPY 4,999",-,-
94,3.62,SAKUMOTO,https://tabelog.com/tw/okinawa/A4701/A470101/47001504/,縣政府前車站,法式料理,"JPY 20,000～JPY 29,999",-,星期一、星期二、星期三、星期四、星期日、節假日、節假日...
95,3.61,Nakayukui Shoten,https://tabelog.com/tw/okinawa/A4705/A470503/47015994/,,"天婦羅, 剉冰, 咖啡店",～JPY 999,～JPY 999,星期一、星期四
96,3.61,Mutou,https://tabelog.com/tw/okinawa/A4701/A470101/47002767/,美榮橋車站,日式小酒館,"JPY 4,000～JPY 4,999",-,星期日
97,3.61,Refuge,https://tabelog.com/tw/okinawa/A4701/A470101/47012608/,安里車站,"法式小酒館, 法式料理, 日式小酒館","JPY 2,000～JPY 2,999",-,星期二、星期三
98,3.61,Kitchen Hikaru,https://tabelog.com/tw/okinawa/A4701/A470101/47027054/,縣政府前車站,"海鮮, 日式小酒館, 沖繩料理","JPY 5,000～JPY 5,999",-,星期日
99,3.61,Aso,https://tabelog.com/tw/okinawa/A4701/A470101/47003786/,縣政府前車站,食堂,-,"JPY 3,000～JPY 3,999",星期六、星期日
100,3.61,Warren’s Place 2.1 Burgers & Beer,https://tabelog.com/tw/okinawa/A4702/A470201/47028223/,,漢堡,-,"JPY 1,000～JPY 1,999",星期四
101,3.61,BAR Waka,https://tabelog.com/tw/okinawa/A4701/A470101/47011343/,美榮橋車站,酒吧,"JPY 3,000～JPY 3,999",-,星期日
102,3.61,Bar Accord,https://tabelog.com/tw/okinawa/A4701/A470101/47001779/,旭橋車站,酒吧,"JPY 3,000～JPY 3,999",-,星期日
103,3.61,Yomitan Ishigama Pizza Sakaba Maruki,https://tabelog.com/tw/okinawa/A4703/A470304/47013811/,,"義大利料理, 披薩, 義大利麵","JPY 4,000～JPY 4,999",-,星期二、星期日
104,3.61,Steak & Seafood Shisuku Grill,https://tabelog.com/tw/okinawa/A4702/A470202/47026749/,,"牛排, 海鮮","JPY 15,000～JPY 19,999",-,-
105,3.61,Yocchan Tei,https://tabelog.com/tw/okinawa/A4701/A470101/47026134/,安里車站,"法式小酒館, 餐飲酒館","JPY 10,000～JPY 14,999",-,-
106,3.60,Itoman Gyomin Shokudo,https://tabelog.com/tw/okinawa/A4704/A470402/47012172/,,食堂,"JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999",星期二
107,3.60,Shuri Horikawa,https://tabelog.com/tw/okinawa/A4701/A470102/47000466/,儀保車站,"沖繩麵, 沖繩料理, 餐廳",-,～JPY 999,星期四
108,3.60,Taira Shoten,https://tabelog.com/tw/okinawa/A4705/A470501/47013932/,,"沖繩麵, 食堂, 便當","JPY 1,000～JPY 1,999",～JPY 999,星期六、星期日、節假日
109,3.60,Heki Kokusaidori Matsuo Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47000141/,縣政府前車站,"鐵板燒, 牛排","JPY 6,000～JPY 7,999","JPY 4,000～JPY 4,999",星期四
110,3.60,Tortilla,https://tabelog.com/tw/okinawa/A4703/A470404/47013964/,浦添前田車站,塔可,～JPY 999,～JPY 999,星期二、星期三
111,3.60,mintama,https://tabelog.com/tw/okinawa/A4703/A470304/47001302/,,"義大利料理, 創作料理","JPY 2,000～JPY 2,999","JPY 1,000～JPY 1,999",-
112,3.60,Tsurusen,https://tabelog.com/tw/okinawa/A4701/A470101/47017306/,牧志車站,日式小酒館,"JPY 4,000～JPY 4,999",-,星期日
113,3.60,Hitoshizuku,https://tabelog.com/tw/okinawa/A4703/A470304/47003255/,,日本料理,"JPY 4,000～JPY 4,999","JPY 1,000～JPY 1,999",-
114,3.60,mitsuhisahonke,https://tabelog.com/tw/okinawa/A4701/A470101/47032504/,縣政府前車站,"涮涮鍋, 沖繩料理","JPY 8,000～JPY 9,999",-,-
115,3.60,Niku Baru Tooru,https://tabelog.com/tw/okinawa/A4701/A470101/47019154/,牧志車站,"餐吧, 肉品餐吧","JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期二
116,3.60,Agu Buta Shabushabu Senmon Ten Ocean Boo! Kokusaidori Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47031947/,牧志車站,"涮涮鍋, 豬肉涮涮鍋, 日式小酒館","JPY 4,000～JPY 4,999","JPY 2,000～JPY 2,999",-
117,3.60,Yakitori Ichiha,https://tabelog.com/tw/okinawa/A4701/A470101/47028216/,美榮橋車站,"烤雞肉串, 日式小酒館","JPY 10,000～JPY 14,999",-,星期日
118,3.60,Chinese Sai Yoshi,https://tabelog.com/tw/okinawa/A4701/A470101/47028739/,美榮橋車站,"中國菜, 飲茶・點心, 餐吧","JPY 5,000～JPY 5,999",-,-
119,3.59,Yunangii,https://tabelog.com/tw/okinawa/A4701/A470101/47000017/,縣政府前車站,"沖繩料理, 日式小酒館, 沖繩麵","JPY 3,000～JPY 3,999",～JPY 999,-
120,3.59,Milmil Honpo Hon Ten,https://tabelog.com/tw/okinawa/A4705/A470501/47007692/,,"意式冰淇淋/冰淇淋, 咖啡店, 漢堡",-,"JPY 1,000～JPY 1,999",-
121,3.59,Milmil Honpo Ishigaki Kuko Ten,https://tabelog.com/tw/okinawa/A4705/A470501/47012455/,,"意式冰淇淋/冰淇淋, 咖啡店, 漢堡",-,"JPY 1,000～JPY 1,999",-
